Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11eW5hqgTKeEu0d2tVHwTA7KN6suvOd1M,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11eW5hqgTKeEu0d2tVHwTA7KN6suvOd1M/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4295999,-49.269743999999996
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11s0hHMFsTjOy4QH-c6krXAZv_3R_QMHm,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11s0hHMFsTjOy4QH-c6krXAZv_3R_QMHm/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4295869,-49.2697187
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11sGhxXzHGHEBvftixfZISTscNm60ZdfA,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11sGhxXzHGHEBvftixfZISTscNm60ZdfA/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4295879,-49.2697291
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11xMaBPp3CMXl6OZY3j7fXU85yhsFoiyK,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11xMaBPp3CMXl6OZY3j7fXU85yhsFoiyK/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4296662,-49.2701875
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=11yb0s-XjaouOBZoc3k9GhK9VSZtF83Iw,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/11yb0s-XjaouOBZoc3k9GhK9VSZtF83Iw/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.429807200000003,-49.2705967
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=121d-7x96prQ3es1og8q-WHFkV0XzR4WL,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/121d-7x96prQ3es1og8q-WHFkV0XzR4WL/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.429719300000002,-49.2703511
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=122_GTNNC7drgumxyqHriEQXHrvPr2DBK,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/122_GTNNC7drgumxyqHriEQXHrvPr2DBK/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4298191,-49.2706027
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12JjsgExLekC44HShF6F7QFvLOsHqhcDx,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12JjsgExLekC44HShF6F7QFvLOsHqhcDx/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4297071,-49.270364
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12NZ6NkQo4Z-_fuYnyilHYItHuRxeNlx6,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12NZ6NkQo4Z-_fuYnyilHYItHuRxeNlx6/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4286432,-49.2710763
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12OGULq9bMF4muRfQJOB2FhCBzp2AcKUo,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12OGULq9bMF4muRfQJOB2FhCBzp2AcKUo/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.428117200000003,-49.2710737
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12U1S8rHwewLSpIaAW71dYsc2pmx42zLF,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12U1S8rHwewLSpIaAW71dYsc2pmx42zLF/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4284059,-49.2711409
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12W1KCqBsKwRanJLNxjn-iOW7u5i9yuKU,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12W1KCqBsKwRanJLNxjn-iOW7u5i9yuKU/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4281212,-49.2710805
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12hJ_UpLG-4CI1KWO_kGE_zBShQrn3xtD,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12hJ_UpLG-4CI1KWO_kGE_zBShQrn3xtD/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.429397400000003,-49.2713447
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12he0NObZoKC4ncjmF34Bz8EvtNV7UsOX,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12he0NObZoKC4ncjmF34Bz8EvtNV7UsOX/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4292292,-49.2713473
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12i-g_Z9MbP3Qh3YB2XvgJVx0KDzaXouA,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12i-g_Z9MbP3Qh3YB2XvgJVx0KDzaXouA/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4278528,-49.2715092
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12mGuW-2HCe4C7SL3AuLvotNr9wgnQFyT,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12mGuW-2HCe4C7SL3AuLvotNr9wgnQFyT/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4287959,-49.2712323
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12msATklbfz2J02WVZHHHCf5vQjVrdr8Y,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12msATklbfz2J02WVZHHHCf5vQjVrdr8Y/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4288038,-49.271252
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12o7itub0BuTFkq2Pyp4jh5Ja4gcCqrq4,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12o7itub0BuTFkq2Pyp4jh5Ja4gcCqrq4/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427894900000002,-49.271482
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12r5-0gjyyZFs1779WnLPQSxpb1Luah2O,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12r5-0gjyyZFs1779WnLPQSxpb1Luah2O/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427846600000002,-49.2715412
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12xZP4pOQJewXJuWCwjel8Yfy1d2oDkat,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12xZP4pOQJewXJuWCwjel8Yfy1d2oDkat/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.428055500000003,-49.2710123
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12xZnBv9dksOLiOC8r7L9W4u1eqxOmhBf,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12xZnBv9dksOLiOC8r7L9W4u1eqxOmhBf/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4277818,-49.2720625
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=12zlm8o1Xz4FOm1McJiRuNWDqtRBdHfXC,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/12zlm8o1Xz4FOm1McJiRuNWDqtRBdHfXC/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427779,-49.2717218
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=133ZA3qydL5CiMQLOG_z2kyeJyib2ScmZ,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/133ZA3qydL5CiMQLOG_z2kyeJyib2ScmZ/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4277497,-49.2720409
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=133yWHaK3DV8pAObJ6UJuwp_SghLufObx,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/133yWHaK3DV8pAObJ6UJuwp_SghLufObx/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427679400000002,-49.2719769
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=133z-RmR0Zwl85o6dtjzrWT-7X_7QuuCi,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/133z-RmR0Zwl85o6dtjzrWT-7X_7QuuCi/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.428074900000002,-49.2722315
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=139Xzz0YJ5rc2ZFYGEnbD5FSsCOoveW1m,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/139Xzz0YJ5rc2ZFYGEnbD5FSsCOoveW1m/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427913,-49.2720341
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=13Hs12AFSvlIDRhtVQF5VqyqlvZtuoMGR,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/13Hs12AFSvlIDRhtVQF5VqyqlvZtuoMGR/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4281252,-49.2721851
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=13NCAtXIhCUwzAPJWoQ-fqXM7nD8I-5gi,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/13NCAtXIhCUwzAPJWoQ-fqXM7nD8I-5gi/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4281438,-49.2722171
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=13RrGYftMaOWbi_XfrgV2f_GxDxkJCw1E,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/13RrGYftMaOWbi_XfrgV2f_GxDxkJCw1E/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.427857200000002,-49.2721039
000-INDEFINIDO,fa-exclamation,#808080,white,,>>INDEFINIDO<<,https://drive.google.com/uc?export=view&id=13fAzrjjNSrbe2ixLEl3EL8o3L7Tt8EUt,(*) INDEFINIDO,"<a href=""https://drive.google.com/file/d/13fAzrjjNSrbe2ixLEl3EL8o3L7Tt8EUt/view?usp=drivesdk"" target=""_blank"">Editar Imagem</a>",-25.4281639,-49.2722078
